"hmrc_code","measure","code_description"
"842330000","KG","Constant weight scales and scales for discharging a pre-determined weight of material into a bag or container, incl. hopper scales (excl. scales for continuous weighing of goods on conveyors)"
"842539000","KG","Winches and capstans, non-powered by electric motor"
"842691900","KG","Cranes designed for mounting on road vehicles (excl. hydraulic cranes designed for the loading and unloading of vehicles)"
"842839900","KG","Continuous-action conveyors for goods or materials (excl. specially designed for underground use, continuous-action conveyors with buckets or belts, wheel conveyors and other roller conveyors, pneumatic continuous-action conveyors and automated material h"
"843240100","KG","Mineral or chemical fertiliser distributors for use in agriculture, horticulture and forestry (excl. sprayers)"
"843390000","KG","Parts of harvesting machinery, threshing machinery, mowers and machines for cleaning, sorting or grading agricultural produce, n.e.s."
"844010300","KG","Sewing, wire stitching and stapling machines, incl. book-sewing machines, for bookbinding"
"844391910","KG","Parts and accessories of printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442, of cast iron or cast steel, n.e.s. (excl. of printing machinery for use in the production of semiconductors)"
"844720200","KG","Warp knitting machines, incl. Raschel type, and stitch-bonding machines"
"845310000","KG","Machinery for preparing, tanning or working hides, skins or leather (excl. drying machines, spray guns, machines for the dehairing of pigs, sewing machines and general purpose presses)"
"845811200","KG","Horizontal turning centres for removing metal, numerically controlled"
"845940900","KG","Boring machines for metals, not numerically controlled (excl. way-type unit head machines and boring-milling machines)"
"846021150","KG","Centreless grinding machines, for finishing metals, metal carbides or cermets, in which the positioning in any one axis can be set up to an accuracy of >= 0,01 mm, numerically controlled (other than gear finishing machines)"
"846229980","KG","Bending, folding, straightening or flattening machines, incl. presses, not hydraulic, not numerically controlled, for working metal (excl. for working flat products and machines for the manufacture of semiconductor devices or of electronic integrated circ"
"846693700","KG","Parts and accessories for machine tools for working metal by removing material, n.e.s. (excl. for water-jet cutting machines)"
"847090000","KG","Accounting machines, postage-franking machines, ticket-issuing machines and similar machines, incorporating a calculating device (excl. calculating machin, cash registers and automatic vending machines)"
"847150000","KG","Processing units for automatic data-processing machines, whether or not containing in the same housing one or two of the following types of unit: storage units, input units, output units (excl. those of heading 8471.41 or 8471.49 and excl. peripheral unit"
"847350800","KG","Parts and accessories equally suitable for use with two or more typewriters, word-processing machines, calculating machines, automatic data-processing machines or other machines, equipment or devices of heading 8469 to 8472, n.e.s. (excl. electronic assem"
"848079000","KG","Moulds for rubber or plastics (other than injection or compression types)"
"848180630","KG","Gate valves of steel for pipes, boiler shells, tanks, vats or the like (excl. taps, cocks and valves for sinks, washbasins, bidets, water cisterns, baths and similar fixtures and central heating radiator valves)"
"848690100","KG","Tool holders, self-opening dieheads and workholders of a kind used solely or principally for the manufacture of semiconductor boules or wafers, semiconductor devices, electronic integrated circuits or flat panel displays"
"850431210","KG","Measuring transformers for voltage measurement, having a power handling capacity <= 1 kVA"
"850511000","KG","Permanent magnets of metal and articles intended to become permanent magnets after magnetization (excl. chucks, clamps and similar holding devices)"
"850990000","KG","Parts of electromechanical domestic appliances, with self-contained electric motor, n.e.s. (excl. of vacuum cleaners, dry and wet vacuum cleaners)"
"851410100","KG","Resistance heated bakery and biscuit ovens"
"851690000","KG","Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating apparatus, hairdressing apparatus and hand dryers, electro-thermic appliances of a kind used for domestic purposes and electric heating resistors, n.e.s."
"851981110","KG","Transcribing machines ""play only"", incl. cassette-players, using magnetic, optical or semiconductor media, without sound recording device"
"852380930","KG","Recorded media for reproducing representations of instructions, data, sound, and image recorded in a machine-readable binary form, and capable of being manipulated or providing interactivity to a user, by means of an automatic data-processing machine (exc"
"852721200","KG","Radio-broadcast receivers capable of receiving and decoding digital Radio Data System signals, of a kind used in motor vehicles, only capable of being operated with an external source of power, combined with sound recording or reproducing apparatus incorp"
"852859390","KG","Colour flat panel displays, not incorporating television reception apparatus, able to display signals from automatic data-processing machines with an acceptable level of functionality (excl. LCD monitors and those of a kind solely or principally used in a"
"852910310","KG","Outside aerials for radio or television broadcast receivers, for reception via satellite"
"853120200","KG","Indicator panels with light emitting diodes ""LED"" (excl. those of a kind used for motor vehicles, cycles or traffic signalling)"
"853620100","KG","Automatic circuit breakers for a voltage <= 1.000 V, for a current <= 63 A"
"853661900","KG","Lamp holders for a voltage <= 1.000 V (excl. Edison lamp holders)"
